id,name,slug,region,lat,lng,tideStationId,tideId,tideDistNm,nearestTide,nearestTideNm,currentStationId,curDistNm,resolution,flag
d3544c6e-da61-4b78-852d-73e570a58dde,Stage Harbor / Hardings,monomoy-shoals-stage-harbor-hardings,Monomoy,41.666,-69.97,Boston HW/LW (8443970),8443970,63.5,"Barnstable Harbor, Beach Point (8447335)",14.5,ACT1626,7.3,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
d9c878a6-0588-4e68-8499-f8ae9e7bec94,The Hooter: Casting The Drift Line,nantucket-sound-the-hooter-casting-the-drift-line,,41.2644,-70.4395,Boston HW/LW (8443970),8443970,70.9,PENIKESE ISLAND (8448248),24.4,ACT1706,5.1,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
dc7484b3-ca41-4895-b7e9-85d65491a907,Scorton Ledge,cape-cod-bay-scorton-ledge,,41.7575,-70.4188,Barnstable HW/LW (8447335),8447335,6.4,"Barnstable Harbor, Beach Point (8447335)",6.4,ACT1546,6.8,SERVABLE-EXPLICIT,
dd0b277a-5114-4395-ab32-1fbf878e0dff,The Hooter: Loop Trolling,nantucket-sound-the-hooter-loop-trolling,,41.262,-70.45,Boston HW/LW (8443970),8443970,70.8,PENIKESE ISLAND (8448248),24.1,ACT1706,5.4,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
de6e5769-24da-4e7e-b32e-c9ffb7b6354b,The Hooter,/hooter,Nantucket Sound,-70.4347,41.251,,,,,,,,UNSERVABLE-NO-STATION (coords only; Worker has no nearest lookup),
drafts.BB-WE-fs---West-End-of-the-Canal,,,,,,,,,,,,,UNSERVABLE-NO-DATA,
drafts.BB-WE-fx-B-C2---Mashnee-Point-Swing,,,,,,,,,,,,,UNSERVABLE-NO-DATA,
drafts.spot-west-end-of-the-canal,,,,,,,,,,,,,UNSERVABLE-NO-DATA,
e40c8b61-7786-42ec-a8db-8e76aae93dbd,Dry Ledge,buzzards-bay-dry-ledge,,41.7022,-70.692,Boston HW/LW (8443970),8443970,42.3,Buzzards Bay (8447270),4.1,COD0906,1.2,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
e7ae03e0-945d-4d83-b27b-e49123fb7f48,The Race / Race Point: Radar Casting Open Water,cape-cod-bay-the-race-race-point-radar-casting-open-water,,42.0513,-70.2382,Barnstable HW/LW (8447335),8447335,19.9,"Barnstable Harbor, Beach Point (8447335)",19.9,ACT1546,19.6,SERVABLE-EXPLICIT,FAR
